"city, province_name",utm easting,utm northing,zone number,zone letter,population,density
"Stony Plain, Alberta",698390.0530793895,5934999.335222805,11,U,17189,481.2
"Petawawa, Ontario",322881.97498350684,5085471.961222425,18,T,17187,103.1
"Pelham, Ontario",635777.9316978444,4765860.596607306,17,T,17110,135.3
"Selwyn, Ontario",712299.9400144478,4921615.47544131,17,T,17060,54.0
"Loyalist, Ontario",360285.17935378,4901129.493012619,18,T,16971,49.8
"Midland, Ontario",588394.9945492002,4955785.666119197,17,T,16864,477.3
"Colwood, British Columbia",463319.38523041876,5363502.073051221,10,U,16859,954.2
"Central Saanich, British Columbia",471648.54408744455,5373525.141373298,10,U,16814,406.8
"Sainte-Catherine, Quebec",611136.1311281585,5028367.582062798,18,T,16762,1764.1
"Port Hope, Ontario",716654.8631143027,4869863.712725222,17,T,16753,60.1
"L’Ancienne-Lorette, Quebec",320677.4068975847,5185620.7250075145,19,T,16745,2193.6
"Saint-Basile-le-Grand, Quebec",634040.8513160942,5043629.337299528,18,T,16736,463.6
"Swift Current, Saskatchewan",300982.8736311286,5574397.849973728,13,U,16604,566.5
"Edmundston, New Brunswick",550932.9191134013,5247225.23858444,19,T,16580,155.2
"Russell, Ontario",471886.95973516256,5011551.813830727,18,T,16520,83.0
"North Grenville, Ontario",448740.3883920333,4979456.687291149,18,T,16451,46.7
"Yorkton, Saskatchewan",677202.0453321952,5676671.01896041,13,U,16343,449.9
"Tracadie, New Brunswick",356179.99366073817,5263875.964529004,20,T,16114.00,31.20
"Bracebridge, Ontario",633908.3781762248,4988055.360388166,17,T,16010,25.5
"Greater Napanee, Ontario",344317.6096199084,4901489.379191242,18,T,15892,34.5
"Tillsonburg, Ontario",521785.2163047827,4746046.724005728,17,T,15872,710.8
"Steinbach, Manitoba",667607.8756939445,5488486.779838156,14,U,15829,618.6
"Hanover, Manitoba",655908.4618647214,5478961.009583562,14,U,15733,21.2
"Terrace, British Columbia",525913.5917567427,6041052.765686036,9,U,15723,212.7
"Springfield, Manitoba",665506.4136457246,5533308.361034113,14,U,15342,13.9
"Gaspé, Quebec",391147.69626827294,5409985.613105483,20,U,15163,13.5
"Kenora, Ontario",393184.65916216397,5513747.5139036495,15,U,15096,71.3
"Cold Lake, Alberta",552988.2303315925,6035478.404504925,12,U,14961,249.7
"Summerside, Prince Edward Island",439785.9019655774,5138789.87465811,20,T,14829,520.5
"Comox, British Columbia",362757.3928975269,5504044.8535229815,10,U,14828,838.2
"Sylvan Lake, Alberta",697940.1291526906,5799299.469351592,11,U,14816,634.2
"Pincourt, Quebec",579595.3941850975,5026034.3221181305,18,T,14558,2048.1
"West Lincoln, Ontario",616700.3159318853,4769218.608115417,17,T,14500,37.4
"Matane, Quebec",607598.3593284768,5411818.328128782,19,U,14462,74.0
