"city, province_name",x,y,population,density
"Central Saanich, British Columbia",-13735032.920088189,6192829.728842782,16814,406.8
"Sainte-Catherine, Quebec",-8190888.13256907,5684714.657219866,16762,1764.1
"Port Hope, Ontario",-8716316.12911332,5457707.825688522,16753,60.1
"L’Ancienne-Lorette, Quebec",-7942645.668100068,5909489.863677087,16745,2193.6
"Saint-Basile-le-Grand, Quebec",-8157859.639650705,5705873.054657281,16736,463.6
"Swift Current, Saskatchewan",-11999562.058621053,6496319.991780121,16604,566.5
"Edmundston, New Brunswick",-7605937.604297655,6003746.449675026,16580,155.2
"Russell, Ontario",-8388847.583046747,5662056.21122064,16520,83.0
"North Grenville, Ontario",-8421319.478511145,5616280.605265441,16451,46.7
"Yorkton, Saskatchewan",-11406106.721253032,6659217.730150848,16343,449.9
"Tracadie, New Brunswick",-7225759.2793404665,6026115.554454603,16114.00,31.20
"Bracebridge, Ontario",-8827635.619906595,5626765.4139764365,16010,25.5
"Greater Napanee, Ontario",-8566034.816542402,5504212.120464131,15892,34.5
"Tillsonburg, Ontario",-8987189.846060593,5291704.187040925,15872,710.8
"Steinbach, Manitoba",-10762802.515907781,6364554.189946155,15829,618.6
"Hanover, Manitoba",-10781203.627735911,6350417.627879058,15733,21.2
"Terrace, British Columbia",-14315653.120167745,7268569.293796779,15723,212.7
"Springfield, Manitoba",-10763915.710815717,6434023.5445061335,15342,13.9
"Gaspé, Quebec",-7178248.120669898,6246623.081856743,15163,13.5
"Kenora, Ontario",-10517832.844468104,6405969.995623514,15096,71.3
"Cold Lake, Alberta",-12265459.794329865,7258565.040198571,14961,249.7
"Summerside, Prince Edward Island",-7100324.477114606,5844682.851056053,14829,520.5
"Comox, British Columbia",-13904049.302959614,6389888.222111222,14828,838.2
"Sylvan Lake, Alberta",-12701153.149345659,6856063.167098582,14816,634.2
"Pincourt, Quebec",-8235783.283205996,5682067.42691484,14558,2048.1
"West Lincoln, Ontario",-8857324.528101161,5322129.783951111,14500,37.4
"Matane, Quebec",-7517772.567589381,6249447.752791281,14462,74.0
"Brooks, Alberta",-12456528.56832744,6544564.798881904,14451,777.3
"Sainte-Anne-des-Plaines, Quebec",-8217649.338155773,5742243.368637885,14421.00,154.10
"West Nipissing / Nipissing Ouest, Ontario",-8896286.349878807,5839309.1510988185,14364,7.2
"Rosemère, Quebec",-8215378.42054359,5722351.898150304,14294,1326.9
"Mistassini, Quebec",-8038981.555432568,6244864.481081886,14250.00,48.20
"Grand Falls, Newfoundland and Labrador",-6196410.211873225,6267703.968033721,14171.00,259.20
"Clearview, Ontario",-8913819.169678748,5527257.1878837645,14151,25.4
"St. Clair, Ontario",-9167160.066826077,5279045.848036054,14086,22.8
"Canmore, Alberta",-12841705.138421245,6637051.9172923295,13992,201.5
"North Battleford, Saskatchewan",-12054353.511989502,6938267.35038724,13888,414.0
"Pembroke, Ontario",-8582732.740161393,5751023.765526555,13882,953.3
"Mont-Laurier, Quebec",-8404621.554892154,5868929.46316788,13779,23.3
"Strathmore, Alberta",-12623663.65180446,6627982.830762735,13756,502.0
"Saugeen Shores, Ontario",-9057699.611529052,5532743.049360336,13715,80.2
"Thompson, Manitoba",-10893202.167423023,7507482.744655894,13678,657.91
"Lavaltrie, Quebec",-8157859.639650705,5761667.644910442,13657,199.7
"High River, Alberta",-12676440.22238955,6547474.4189667,13584,635.1
"Severn, Ontario",-8851758.553561497,5582249.59411092,13477,24.5
"Sainte-Sophie, Quebec",-8226510.369622918,5751550.865005549,13375,120.2
"Saint-Charles-Borromée, Quebec",-8178275.634262191,5788365.378851466,13321,715.0
"Portage La Prairie, Manitoba",-10941804.257103367,6441566.61201215,13304,539.1
"Thames Centre, Ontario",-9025784.313518621,5316539.268199601,13191,30.4
"Mississippi Mills, Ontario",-8482545.198447447,5655701.224597881,13163,25.3
"Powell River, British Columbia",-13862026.195185153,6417801.408696977,13157,444.1
"South Glengarry, Ontario",-8302574.977681961,5653062.5386325,13150,21.7
"North Perth, Ontario",-9011312.779715495,5423753.691527968,13130,26.6
"Mercier, Quebec",-8209812.446003926,5672040.407090648,13115,284.6
"South Stormont, Ontario",-8345254.870452103,5634644.913090013,13110,28.2
"Saint-Colomban, Quebec",-8252113.852505369,5737186.598945498,13080,139.8
"Lacombe, Alberta",-12661133.792405477,6885247.078768737,13057,627.5
"Sooke, British Columbia",-13774428.887879925,6169654.116539428,13001,229.6
"Dawson Creek, British Columbia",-13384565.767223725,7510904.753604657,12978,475.4
"Lake Country, British Columbia",-13293127.937486127,6460714.450797626,12922,105.8
"Trent Hills, Ontario",-8666378.205543457,5514194.804705215,12900,25.2
"Sainte-Marie, Quebec",-7907390.7853658395,5852757.632510748,12889,120.3
"Guelph/Eramosa, Ontario",-8930049.551436406,5408361.233223647,12854,44.1
"Truro, Nova Scotia",-7044297.377398352,5679119.935046727,12826,355.5
"Amos, Quebec",-8695911.266450912,6201656.7221679455,12823,29.8
"The Nation / La Nation, Ontario",-8352668.748538934,5676791.151211871,12808,19.5
"Ingersoll, Ontario",-9003921.165526822,5317940.391284617,12757,1000.7
"Winkler, Manitoba",-10902597.532445975,6305748.508483335,12660,740.5
"Wetaskiwin, Alberta",-12621058.775719898,6977339.753164622,12655,691.1
"Central Elgin, Ontario",-9028010.703334486,5276528.358303955,12607,45.0
"Lachute, Quebec",-8274745.104983641,5724437.781233704,12551,114.9
"West Grey, Ontario",-8996473.891592752,5493852.236907011,12518,14.3
"Parksville, British Columbia",-13838348.539493423,6328480.30913379,12514,854.6
"Cowansville, Quebec",-8098492.955210652,5653062.5386325,12489,271.0
"Bécancour, Quebec",-8063238.072476423,5833922.603499749,12438,28.2
"Gravenhurst, Ontario",-8835060.629942505,5608417.125067244,12311,23.8
"Perth East, Ontario",-9011312.779715495,5383786.469627541,12261,17.2
"Prince Rupert, British Columbia",-14507946.408564042,7229506.366945987,12220,227.7
"Prévost, Quebec",-8246547.8779657055,5759541.046584648,12171,347.2
"Sainte-Adèle, Quebec",-8252113.852505369,5772340.302359437,12137,100.4
"Kentville, Nova Scotia",-7179639.614304814,5633730.537801628,12088,363.3
"Beauharnois, Quebec",-8223170.784899119,5672040.407090648,12011,173.9
"Les Îles-de-la-Madeleine, Quebec",-6886969.541060218,6004864.355969811,12010,69.5
"Wellington North, Ontario",-8969011.373214051,5449979.971864045,11914,22.6
"St. Andrews, Manitoba",-10795174.223830465,6493167.052817521,11913,15.8
"Carleton Place, Ontario",-8475120.188411536,5642531.3114081025,11901,1176.2
"Whistler, British Columbia",-13687221.198792476,6467222.615475912,11854,49.3
"Brighton, Ontario",-8656671.145946285,5484372.4303132305,11844,43.2
"Tiny, Ontario",-8899993.288922222,5571800.588886851,11787,35.0
